Spice Name,Sweetness,Sourness,Saltiness,Spiciness,Bitterness,Umami
Cinnamon,85,5,0,10,5,0
Black Pepper,10,15,5,70,20,10
Turmeric,5,10,0,15,60,10
Paprika,20,10,5,40,15,10
Nutmeg,70,5,0,5,15,5
Cloves,75,10,0,30,20,5
Cardamom,60,15,0,20,10,5
Ginger,30,40,0,50,10,10
Garlic Powder,5,10,5,20,10,80
Cayenne Pepper,5,5,5,95,5,5
Allspice,65,10,0,25,15,5
Star Anise,80,10,0,20,20,5
Fennel Seeds,75,5,0,5,15,5
Mustard Seeds,10,20,5,60,30,10
Coriander,30,15,0,5,25,10
Cumin,5,10,0,30,40,15
Fenugreek,10,5,0,10,65,10
Sumac,5,80,5,10,15,5
Saffron,40,5,0,5,10,40
Vanilla Bean,95,0,0,0,5,0
White Pepper,5,10,5,60,15,10
Asafoetida (Hing),0,5,10,30,50,60
Curry Powder,15,10,5,50,20,20
Chili Powder,5,5,5,90,10,5
Smoked Paprika,15,5,5,30,20,50
Celery Seed,5,15,10,5,50,20
Dill Seed,20,30,5,5,30,10
Caraway Seeds,25,10,0,5,40,10
Juniper Berries,50,30,0,10,40,5
Mace,60,5,0,10,20,5
Annatto,10,5,0,5,30,10
Ajwain,5,10,5,50,40,10
Long Pepper,10,15,0,80,25,10
Grains of Paradise,30,20,0,60,15,5
Epazote,5,20,0,10,70,5
Sichuan Pepper,5,30,0,80,40,5
Kaffir Lime Leaves,5,70,0,5,30,5
Galangal,10,50,0,40,20,10
Lemongrass,15,60,0,5,20,5
Tarragon,40,30,0,5,25,10
Marjoram,30,15,0,5,20,10
Oregano,10,20,0,30,40,20
Thyme,15,15,0,5,35,30
Rosemary,10,10,0,5,50,25
Sage,15,10,0,5,45,25
Bay Leaf,5,10,0,5,70,20
Basil,30,20,0,5,15,30
Parsley,20,30,0,0,20,30
Chives,25,20,5,0,10,40
Lovage,10,30,5,0,50,25
Chervil,35,25,0,0,20,20
Savory,10,15,0,20,40,25
Za'atar,10,30,10,20,30,20
Berbere,5,15,5,80,25,15
Ras el Hanout,20,10,5,50,25,20
Garam Masala,40,5,0,30,15,20
Five-Spice Powder,70,10,0,20,20,10
Old Bay Seasoning,10,10,50,30,10,20
Togarashi,5,20,20,70,15,10
Harissa,5,30,5,90,15,10
Vadouvan,20,15,5,40,20,40
Dukkah,15,10,10,20,30,25
Shichimi Togarashi,10,25,15,60,20,10
Baharat,20,10,5,50,20,25
Quatre Epices,50,10,0,30,20,10
Herbes de Provence,25,20,0,5,30,20
Pumpkin Spice,80,5,0,5,10,0
Apple Pie Spice,85,5,0,0,10,0
Jerk Seasoning,15,30,10,80,20,15
Cajun Seasoning,5,10,30,70,15,20
Creole Seasoning,10,15,40,50,10,25
Adobo Seasoning,5,10,50,40,10,30
Gumbo Filé,5,10,0,5,60,30
Sazon,5,10,40,30,15,40
Montreal Steak Spice,10,15,30,50,20,25
Furikake,20,15,40,5,20,50
Tajin,5,70,20,30,10,5
Amchur (Mango Powder),30,80,0,0,20,5
Kala Namak,0,5,90,5,20,10
Black Salt,0,5,85,5,25,15
Pink Salt,0,0,95,0,5,0
Onion Powder,10,10,5,5,10,75
Shallot Powder,15,15,5,5,10,70
Horseradish,5,40,5,70,30,10
Wasabi,5,30,5,90,20,10
Tamarind,60,80,0,0,20,5
Kokum,5,85,0,0,30,5
Pomegranate Molasses,70,60,0,0,20,5
Juniper,50,30,0,10,40,5
Mahlab,60,10,0,5,30,5
Grains of Selim,10,15,0,50,50,10
Cubeb Pepper,10,20,0,70,40,10
Black Cardamom,30,10,0,40,40,20
White Cardamom,50,10,0,10,20,10
Green Cardamom,65,10,0,15,15,5
Cassia,80,5,0,15,10,0
Tonka Bean,90,5,0,0,15,5
Licorice Root,95,5,0,0,20,0
Angelica Root,70,10,0,0,40,5
Asafoetida,0,5,10,30,50,60
